date,Close
2020-11-19,2.35
2020-11-20,2.5
2020-11-23,2.5
2020-11-24,2.45
2020-11-25,2.4
2020-11-26,2.35
2020-11-27,2.35
2020-12-01,2.35
2020-12-02,2.35
2020-12-03,2.45
2020-12-04,2.65
2020-12-07,3.15
2020-12-08,3.35
2020-12-09,3.1
2020-12-10,3.25
2020-12-11,3.9
2020-12-14,4.1
2020-12-15,3.7
2020-12-16,3.35
2020-12-17,3.55
2020-12-18,3.35
2020-12-21,3.05
2020-12-22,3.2
2020-12-23,3.25
2020-12-24,3.15
2020-12-28,3.3
2020-12-29,3.2
2020-12-30,3.2
2020-12-31,3.2
2021-01-01,3.3
2021-01-04,3.3
2021-01-05,3.3
2021-01-06,3.25
2021-01-07,3.35
2021-01-08,3.3
2021-01-11,3.25
2021-01-12,3.2
2021-01-13,3.15
2021-01-14,3.1
2021-01-15,3.0
2021-01-18,2.95
2021-01-19,3.05
2021-01-20,3.0
2021-01-21,2.95
2021-01-22,2.85
2021-01-25,2.8
2021-01-27,2.9
2021-01-28,3.0
2021-01-29,2.85
2021-02-01,2.75
2021-02-02,2.85
2021-02-03,2.85
2021-02-04,2.8
2021-02-05,2.75
2021-02-08,2.6
2021-02-09,2.5
2021-02-10,2.4
2021-02-11,2.6
2021-02-12,2.75
2021-02-15,3.0
2021-02-16,3.3
2021-02-17,3.15
2021-02-18,3.0
2021-02-19,2.85
2021-02-22,2.75
2021-02-23,2.85
2021-02-24,2.85
2021-02-25,2.8
2021-02-26,2.75
2021-03-01,2.85
2021-03-02,2.95
2021-03-03,3.0
2021-03-04,2.95
2021-03-05,2.9
2021-03-08,2.9
2021-03-09,2.85
2021-03-10,2.8
2021-03-12,2.75
2021-03-15,2.7
2021-03-16,2.7
2021-03-17,2.65
2021-03-18,2.55
2021-03-19,2.55
2021-03-22,2.65
2021-03-23,2.75
2021-03-24,2.85
2021-03-25,2.95
2021-03-26,3.05
2021-03-30,3.1
2021-03-31,3.25
2021-04-01,3.4
2021-04-05,3.25
2021-04-06,3.1
2021-04-07,3.2
2021-04-08,3.2
2021-04-09,3.2
2021-04-12,2.95
2021-04-13,2.95
2021-04-15,3.2
2021-04-16,3.1
2021-04-19,2.9
2021-04-20,2.95
2021-04-22,3.0
2021-04-23,2.95
2021-04-26,2.9
2021-04-27,2.9
2021-04-28,2.9
2021-04-29,3.15
2021-04-30,3.15
2021-05-03,3.1
2021-05-04,3.05
2021-05-05,3.0
2021-05-06,3.0
2021-05-07,3.0
2021-05-10,3.3
2021-05-11,3.6
2021-05-12,3.95
2021-05-14,3.9
2021-05-17,3.9
2021-05-18,3.75
2021-05-19,3.6
2021-05-20,3.45
2021-05-21,3.6
2021-05-24,3.75
2021-05-25,3.9
2021-05-26,4.05
2021-05-27,3.95
2021-05-28,3.9
2021-05-31,3.8
2021-06-01,3.75
2021-06-02,3.9
2021-06-03,3.85
2021-06-04,3.9
2021-06-07,3.9
2021-06-08,3.85
2021-06-09,4.2
2021-06-10,4.6
2021-06-11,5.0
2021-06-14,4.9
2021-06-15,5.1
2021-06-16,5.35
2021-06-17,5.6
2021-06-18,5.85
2021-06-21,6.1
2021-06-22,6.4
2021-06-23,6.1
2021-06-24,5.8
2021-06-25,5.55
2021-06-28,5.3
2021-06-29,5.55
2021-06-30,5.65
2021-07-01,5.5
2021-07-02,5.75
2021-07-05,6.0
2021-07-06,6.0
2021-07-07,5.75
2021-07-08,6.0
2021-07-09,6.3
2021-07-12,6.6
2021-07-13,6.3
2021-07-14,6.15
2021-07-15,6.0
2021-07-16,5.85
2021-07-19,6.1
2021-07-20,5.8
2021-07-22,5.55
2021-07-23,5.3
2021-07-26,5.4
2021-07-27,5.15
2021-07-28,4.9
2021-07-29,4.7
2021-07-30,4.9
2021-08-02,5.1
2021-08-03,5.35
2021-08-04,5.1
2021-08-05,4.85
2021-08-06,5.05
2021-08-09,4.8
2021-08-10,4.6
2021-08-11,4.4
2021-08-12,4.6
2021-08-13,4.4
2021-08-16,4.2
2021-08-17,4.0
2021-08-18,3.8
2021-08-20,3.65
2021-08-23,3.5
2021-08-24,3.65
2021-08-25,3.8
2021-08-26,3.95
2021-08-27,4.1
2021-08-30,4.2
2021-08-31,4.0
2021-09-01,3.95
2021-09-02,4.1
2021-09-03,4.0
2021-09-06,3.95
2021-09-07,3.95
2021-09-08,4.0
2021-09-09,4.05
2021-09-13,4.0
2021-09-14,4.2
2021-09-15,4.4
2021-09-16,4.35
2021-09-17,4.35
2021-09-20,4.25
2021-09-21,4.35
2021-09-22,4.35
2021-09-23,4.2
2021-09-24,4.3
2021-09-27,4.25
2021-09-28,4.2
2021-09-29,4.4
2021-09-30,4.35
2021-10-01,4.2
2021-10-04,4.35
2021-10-05,4.25
2021-10-06,4.25
2021-10-07,4.35
2021-10-08,5.2
2021-10-11,5.4
2021-10-12,5.15
2021-10-13,5.55
2021-10-14,5.45
2021-10-18,5.65
2021-10-19,5.3
2021-10-20,5.15
2021-10-21,5.05
2021-10-22,4.9
2021-10-25,4.7
2021-10-26,4.75
2021-10-27,4.6
2021-10-28,4.4
2021-10-29,4.4
2021-11-01,4.6
2021-11-02,4.9
2021-11-03,4.7
2021-11-04,4.8
2021-11-08,4.8
2021-11-09,4.8
2021-11-10,4.75
2021-11-11,4.65
2021-11-12,4.7
2021-11-15,4.3
2021-11-16,4.5
2021-11-17,4.4
2021-11-18,4.35
2021-11-22,4.2
2021-11-23,4.4
2021-11-24,4.55
2021-11-25,4.8
2021-11-26,4.75
2021-11-29,4.4
2021-11-30,4.5
2021-12-01,4.45
2021-12-02,4.45
2021-12-03,4.6
2021-12-06,4.55
2021-12-07,4.65
2021-12-08,4.95
2021-12-09,5.8
2021-12-10,5.5
2021-12-13,5.95
2021-12-14,5.8
2021-12-15,5.65
2021-12-16,5.35
2021-12-17,5.1
2021-12-20,4.85
2021-12-21,5.0
2021-12-22,5.75
2021-12-23,5.6
2021-12-24,5.6
2021-12-27,5.9
2021-12-28,6.4
2021-12-29,6.05
2021-12-30,5.95
2021-12-31,6.2
2022-01-03,7.25
2022-01-04,7.35
2022-01-05,7.1
2022-01-06,7.9
2022-01-07,8.45
2022-01-10,9.25
2022-01-11,10.15
2022-01-12,10.35
2022-01-13,9.8
2022-01-14,9.9
2022-01-17,10.05
2022-01-18,9.55
2022-01-19,9.15
2022-01-20,10.0
2022-01-21,9.6
2022-01-24,8.8
2022-01-25,9.05
2022-01-27,9.25
2022-01-28,9.1
2022-01-31,9.05
2022-02-01,9.05
2022-02-02,8.95
2022-02-03,9.05
2022-02-04,9.0
2022-02-07,8.85
2022-02-08,8.55
2022-02-09,8.75
2022-02-10,8.75
2022-02-11,8.5
2022-02-14,8.7
2022-02-15,8.65
2022-02-16,8.5
2022-02-17,8.3
2022-02-18,7.95
2022-02-21,7.3
2022-02-22,6.7
2022-02-23,7.0
2022-02-24,6.65
2022-02-25,6.95
2022-02-28,7.25
2022-03-02,7.2
2022-03-03,7.2
2022-03-04,7.0
2022-03-07,6.7
2022-03-08,7.0
2022-03-09,7.2
2022-03-10,7.25
2022-03-11,7.25
2022-03-14,7.1
2022-03-15,6.95
2022-03-16,7.1
2022-03-17,7.05
2022-03-21,7.0
2022-03-22,6.95
2022-03-23,6.95
2022-03-24,6.85
2022-03-25,6.85
2022-03-28,6.65
2022-03-29,6.75
2022-03-30,7.0
2022-03-31,6.8
2022-04-01,7.0
2022-04-04,7.35
2022-04-05,7.7
2022-04-06,8.05
2022-04-07,8.05
2022-04-08,8.25
2022-04-11,8.2
2022-04-12,8.0
2022-04-13,7.95
2022-04-18,7.7
2022-04-19,7.55
2022-04-20,7.6
2022-04-21,7.7
2022-04-22,7.9
2022-04-25,7.7
2022-04-26,7.65
2022-04-27,7.45
2022-04-28,7.35
2022-04-29,7.4
2022-05-02,7.35
2022-05-04,7.2
2022-05-05,7.1
2022-05-06,6.9
2022-05-09,7.0
2022-05-10,6.75
2022-05-11,6.5
2022-05-12,6.2
2022-05-13,6.45
2022-05-16,6.65
2022-05-17,6.95
2022-05-18,7.25
2022-05-19,7.35
2022-05-20,7.5
2022-05-23,7.2
2022-05-24,7.2
2022-05-25,7.05
2022-05-26,6.9
2022-05-27,6.9
2022-05-30,6.65
2022-05-31,6.9
2022-06-01,7.2
2022-06-02,7.3
2022-06-03,7.05
2022-06-06,7.15
2022-06-07,7.05
2022-06-08,6.9
2022-06-09,7.1
2022-06-10,7.0
2022-06-13,6.75
2022-06-14,6.7
2022-06-15,6.65
2022-06-16,6.35
2022-06-17,6.05
2022-06-20,5.6
2022-06-21,6.1
2022-06-22,6.15
2022-06-23,6.5
2022-06-24,6.55
2022-06-27,6.55
2022-06-28,6.55
2022-06-29,6.4
2022-06-30,6.45
2022-07-01,6.4
2022-07-04,6.4
2022-07-05,6.35
2022-07-06,6.25
2022-07-07,6.3
2022-07-08,6.3
2022-07-11,6.4
2022-07-12,6.5
2022-07-13,6.35
2022-07-14,6.3
2022-07-15,6.25
2022-07-18,6.3
2022-07-19,6.4
2022-07-20,6.35
2022-07-21,6.6
2022-07-22,6.5
2022-07-25,6.4
2022-07-26,6.3
2022-07-27,6.25
2022-07-28,6.15
2022-07-29,6.4
2022-08-01,7.0
2022-08-02,7.2
2022-08-03,7.1
2022-08-04,7.3
2022-08-05,7.65
2022-08-08,8.1
2022-08-10,8.3
2022-08-11,7.85
2022-08-12,7.5
2022-08-16,7.75
2022-08-17,7.6
2022-08-18,7.65
2022-08-19,7.45
2022-08-22,7.65
2022-08-23,7.85
2022-08-24,7.95
2022-08-25,7.7
2022-08-26,7.65
2022-08-29,7.5
2022-08-30,7.55
2022-09-01,8.0
2022-09-02,8.35
2022-09-05,9.05
2022-09-06,8.9
2022-09-07,8.7
2022-09-08,8.95
2022-09-09,8.35
2022-09-12,8.6
2022-09-13,8.45
2022-09-14,8.35
2022-09-15,8.5
2022-09-16,8.2
2022-09-19,8.1
2022-09-20,8.05
2022-09-21,8.05
2022-09-22,8.3
2022-09-23,8.05
2022-09-26,7.7
2022-09-27,7.6
2022-09-28,7.25
2022-09-29,7.1
2022-09-30,7.35
2022-10-03,7.2
2022-10-04,7.45
2022-10-06,7.7
2022-10-07,8.15
2022-10-10,8.45
2022-10-11,8.05
2022-10-12,7.7
2022-10-13,7.8
2022-10-14,7.85
2022-10-17,7.6
2022-10-18,7.8
2022-10-19,7.9
2022-10-20,7.9
2022-10-21,7.8
2022-10-24,7.75
2022-10-25,7.55
2022-10-27,7.5
2022-10-28,7.5
2022-10-31,7.5
2022-11-01,7.45
2022-11-02,7.4
2022-11-03,7.4
2022-11-04,7.5
2022-11-07,7.65
2022-11-09,7.55
2022-11-10,7.5
2022-11-11,7.45
2022-11-14,7.45
2022-11-15,7.45
2022-11-16,7.4
2022-11-17,7.35
2022-11-18,7.3
2022-11-21,7.2
2022-11-22,7.55
2022-11-23,7.45
2022-11-24,7.35
2022-11-25,7.45
2022-11-28,7.6
2022-11-29,7.5
2022-11-30,7.7
2022-12-01,7.9
2022-12-02,7.95
2022-12-05,8.05
2022-12-06,7.9
2022-12-07,7.75
2022-12-08,7.65
2022-12-09,7.5
2022-12-12,8.3
2022-12-13,7.9
