date,Close
2020-11-19,6.4
2020-11-20,6.25
2020-11-23,6.7
2020-11-24,6.95
2020-11-25,6.7
2020-11-26,6.95
2020-11-27,6.95
2020-12-01,7.25
2020-12-02,7.25
2020-12-03,8.45
2020-12-04,8.2
2020-12-07,8.2
2020-12-08,8.75
2020-12-09,9.5
2020-12-10,9.15
2020-12-11,9.0
2020-12-14,8.8
2020-12-15,8.45
2020-12-16,8.45
2020-12-17,8.35
2020-12-18,8.2
2020-12-21,7.5
2020-12-22,7.6
2020-12-23,8.2
2020-12-24,8.2
2020-12-28,8.3
2020-12-29,8.45
2020-12-30,8.3
2020-12-31,8.25
2021-01-01,8.35
2021-01-04,8.75
2021-01-05,8.6
2021-01-06,8.55
2021-01-07,8.6
2021-01-08,8.45
2021-01-11,8.3
2021-01-12,8.75
2021-01-13,8.7
2021-01-14,8.75
2021-01-15,8.55
2021-01-18,8.4
2021-01-19,8.55
2021-01-20,8.6
2021-01-21,8.3
2021-01-22,7.85
2021-01-25,7.6
2021-01-27,7.35
2021-01-28,7.5
2021-01-29,7.6
2021-02-01,7.85
2021-02-02,7.75
2021-02-03,7.75
2021-02-04,7.9
2021-02-05,7.7
2021-02-08,7.65
2021-02-09,7.6
2021-02-10,7.55
2021-02-11,7.6
2021-02-12,7.55
2021-02-15,7.4
2021-02-16,7.5
2021-02-17,8.0
2021-02-18,8.2
2021-02-19,8.0
2021-02-22,7.95
2021-02-23,7.95
2021-02-24,8.25
2021-02-25,8.2
2021-02-26,9.05
2021-03-01,9.65
2021-03-02,9.4
2021-03-03,9.3
2021-03-04,9.05
2021-03-05,8.75
2021-03-08,9.0
2021-03-09,8.75
2021-03-10,8.75
2021-03-12,8.7
2021-03-15,8.55
2021-03-16,8.5
2021-03-17,8.3
2021-03-18,8.15
2021-03-19,8.2
2021-03-22,8.1
2021-03-23,8.2
2021-03-24,8.05
2021-03-25,7.75
2021-03-26,7.7
2021-03-30,7.55
2021-03-31,7.6
2021-04-01,8.0
2021-04-05,7.7
2021-04-06,7.75
2021-04-07,7.75
2021-04-08,7.8
2021-04-09,7.95
2021-04-12,7.45
2021-04-13,7.35
2021-04-15,7.3
2021-04-16,7.3
2021-04-19,7.05
2021-04-20,7.1
2021-04-22,7.25
2021-04-23,7.15
2021-04-26,7.25
2021-04-27,7.35
2021-04-28,7.45
2021-04-29,7.35
2021-04-30,7.3
2021-05-03,7.25
2021-05-04,7.4
2021-05-05,7.5
2021-05-06,7.4
2021-05-07,8.55
2021-05-10,9.4
2021-05-11,9.75
2021-05-12,10.4
2021-05-14,10.1
2021-05-17,10.0
2021-05-18,9.85
2021-05-19,9.95
2021-05-20,10.4
2021-05-21,10.2
2021-05-24,9.85
2021-05-25,9.7
2021-05-26,9.75
2021-05-27,9.7
2021-05-28,9.45
2021-05-31,9.55
2021-06-01,9.25
2021-06-02,9.4
2021-06-03,9.45
2021-06-04,9.4
2021-06-07,9.9
2021-06-08,10.05
2021-06-09,9.8
2021-06-10,9.85
2021-06-11,9.85
2021-06-14,9.7
2021-06-15,9.7
2021-06-16,9.95
2021-06-17,10.1
2021-06-18,10.45
2021-06-21,11.55
2021-06-22,12.15
2021-06-23,12.0
2021-06-24,11.85
2021-06-25,11.85
2021-06-28,12.25
2021-06-29,12.2
2021-06-30,12.1
2021-07-01,11.85
2021-07-02,11.85
2021-07-05,11.75
2021-07-06,11.7
2021-07-07,11.6
2021-07-08,11.55
2021-07-09,11.4
2021-07-12,11.7
2021-07-13,11.6
2021-07-14,11.45
2021-07-15,11.35
2021-07-16,11.45
2021-07-19,11.35
2021-07-20,11.0
2021-07-22,11.2
2021-07-23,10.4
2021-07-26,10.05
2021-07-27,10.1
2021-07-28,9.95
2021-07-29,9.85
2021-07-30,9.85
2021-08-02,9.85
2021-08-03,9.8
2021-08-04,9.55
2021-08-05,9.3
2021-08-06,9.5
2021-08-09,9.5
2021-08-10,9.2
2021-08-11,9.0
2021-08-12,9.3
2021-08-13,9.25
2021-08-16,9.15
2021-08-17,8.95
2021-08-18,8.75
2021-08-20,8.6
2021-08-23,8.35
2021-08-24,8.7
2021-08-25,8.7
2021-08-26,9.1
2021-08-27,9.3
2021-08-30,9.25
2021-08-31,9.05
2021-09-01,9.15
2021-09-02,9.1
2021-09-03,9.1
2021-09-06,9.1
2021-09-07,9.05
2021-09-08,9.05
2021-09-09,9.2
2021-09-13,9.1
2021-09-14,9.15
